id,%Time,WallTime,#Hits,IPC,Cycles/s,Instr/s,Flops/s,TOT_CYC,TOT_INS,L1_DCM,L2_DCM,L3_TCM,L1_ICM,VEC_DP,DP_OPS,VEC_SP,SP_OPS,TLB_DM,TLB_IM,Function,Scope,File
1,8.7,5.900,118,1.28,2003,2571.0,1967.0,11817.0,15167.0,642.0,574.0,108.0,3.271,3807.0,7794.0,0.366,0.366,19.997,0.125,save_fluxes,USER,radiation_save.F90
2,8.3,5.597,112,1.20,2003,2414.0,2264.0,11209.0,13506.0,514.0,473.0,100.832,2.367,3377.0,9293.0,0.72,0.72,11.498,0.102,solver_mcica_lw,USER,radiation_mcica_lw.F90
3,7.9,5.350,107,1.53,2003,3073.0,3096.0,10714.0,16441.0,611.0,583.0,66.099,3.514,4319.0,12241.0,0.425,0.425,8.492,0.124,rrtm_taumol3,USER,rrtm_taumol3.F90
4,5.8,3.900,78,1.45,2003,2903.0,2198.0,7811.0,11320.0,471.0,428.0,53.001,2.493,2689.0,5882.0,0.262,0.262,17.227,89228.0,solver_homogeneous_sw,USER,radiation_homogeneous_sw.F90
5,4.1,2.800,56,1.30,2003,2600.0,2047.0,5608.0,7280.0,285.0,265.0,52.057,1.498,1785.0,3945.0,0.113,0.113,9.237,55798.0,rrtm_kgb7,USER,rrtm_kgb7.F90
6,3.8,2.600,52,1.18,2003,2371.0,1736.0,5208.0,6163.0,219.0,229.0,53.723,1.001,1395.0,3119.0,0.252,0.252,9.274,39904.0,solver_homogeneous_lw,USER,radiation_homogeneous_lw.F90
7,3.0,2.050,41,1.40,2003,2811.0,2099.0,4106.0,5761.0,217.0,217.0,29.25,1.46,1373.0,2930.0,0.139,0.139,7.659,48364.0,fast_expm_exchange_2,USER,radiation_matrix.F90
8,2.1,1.400,28,1.54,2003,3089.0,3112.0,2804.0,4325.0,176.0,161.0,14.667,1.143,1234.0,3124.0,0.117,0.117,2.475,37673.0,rrtm_taumol5,USER,rrtm_taumol5.F90
9,2.1,1.400,28,0.82,2003,1638.0,0.054,2804.0,2293.0,128.0,83.869,55.566,55262.0,16064.0,60227.0,0.0,0.0,4.573,3895.0,get_real_matrix_indexed,USER,easy_netcdf.F90
10,2.0,1.350,27,1.07,2003,2146.0,1683.0,2704.0,2898.0,111.0,130.0,30.584,0.527,785.0,1487.0,0.176,0.176,4.607,20346.0,calc_ice_optics_fu_lw,USER,radiation_ice_optics_fu.F90
11,1.9,1.297,26,1.25,2003,2502.0,903.0,2598.0,3244.0,110.0,82.741,77.584,52741.0,556.0,615.0,0.0,0.0,2.139,6248.0,rrtm_taumol15,USER,rrtm_taumol15.F90
12,1.6,1.050,21,0.88,2003,1769.0,2205.0,2103.0,1857.0,163.0,223.0,105.0,34231.0,464.0,1852.0,0.0,0.0,0.408,2583.0,print_real,USER,radiation_config.F90
13,1.5,1.000,20,1.56,2003,3131.0,3316.0,2003.0,3131.0,105.0,100.206,11.007,0.88,872.0,2445.0,0.109,0.109,1.635,22978.0,rrtm_taumol7,USER,rrtm_taumol7.F90
14,1.3,0.850,17,1.42,2003,2843.0,2577.0,1703.0,2416.0,95.105,69.126,12.851,0.534,703.0,1488.0,30707.0,30707.0,4.143,19185.0,gas_optics,USER,radiation_ifs_rrtm.F90
15,1.1,0.750,15,0.88,2003,1766.0,2175.0,1502.0,1325.0,37.767,60.453,15.308,0.322,407.0,1225.0,0.134,0.134,0.733,11303.0,srtm_setcoef,USER,srtm_setcoef.F90
16,1.1,0.745,15,0.88,2003,1763.0,1711.0,1493.0,1314.0,133.0,184.0,79.79,17136.0,255.0,1020.0,0.0,0.0,0.925,1123.0,consolidate_config,USER,radiation_config.F90
17,0.8,0.550,11,1.19,2003,2384.0,1452.0,1102.0,1312.0,38.825,49.233,13.835,0.217,262.0,537.0,47222.0,47222.0,2.367,11957.0,diag_mat_right_divide_3,USER,radiation_matrix.F90
18,0.7,0.450,9,1.01,2003,2025.0,1257.0,902.0,911.0,53.336,24.532,13.07,46059.0,178.0,389.0,29309.0,29309.0,1.342,7692.0,calc_ice_optics_baran,USER,radiation_ice_optics_baran.F90
19,0.6,0.400,8,1.60,2003,3196.0,3186.0,802.0,1279.0,75.051,42.134,4.484,0.175,367.0,908.0,0.0,0.0,0.538,11063.0,rrtm_taumol4,USER,rrtm_taumol4.F90
20,0.5,0.350,7,1.19,2004,2388.0,3501.0,702.0,836.0,77.278,29.743,3.504,0.258,330.0,896.0,43619.0,43619.0,0.673,6894.0,rrtm_taumol9,USER,rrtm_taumol9.F90
21,0.5,0.350,7,1.21,2003,2414.0,1339.0,702.0,845.0,31.2,40.233,8.953,98838.0,114.0,355.0,51883.0,51883.0,1.421,7197.0,solver_tripleclouds_sw,USER,radiation_tripleclouds_sw.F90
22,0.5,0.350,7,1.33,2003,2658.0,4413.0,701.0,931.0,59.827,38.865,3.208,0.261,413.0,1132.0,18467.0,18467.0,1.024,10267.0,rrtm_taumol6,USER,rrtm_taumol6.F90
23,0.4,0.300,6,1.51,2003,3019.0,1559.0,601.0,906.0,34.034,35.796,5.84,0.26,150.0,319.0,0.0,0.0,0.62,1663.0,lu_substitution,USER,radiation_matrix.F90
24,0.4,0.300,6,1.01,2003,2031.0,3065.0,601.0,610.0,19.4,23.283,5.27,0.153,216.0,704.0,49188.0,49188.0,0.278,4255.0,srtm_taumol22,USER,srtm_taumol22.F90
25,0.3,0.200,4,1.50,2003,2999.0,2992.0,401.0,600.0,32.584,22.926,2.356,0.153,148.0,451.0,16440.0,16440.0,0.357,6814.0,rrtm_taumol8,USER,rrtm_taumol8.F90
26,0.3,0.200,4,0.88,2003,1769.0,1519.0,401.0,354.0,17.531,23.185,3.853,98297.0,103.0,202.0,32792.0,32792.0,1.135,3484.0,calc_ice_optics_fu_sw,USER,radiation_ice_optics_fu.F90
27,0.3,0.200,4,0.59,2003,1191.0,1036.0,401.0,239.0,22.644,26.51,20.511,0.0,42.433,166.0,0.0,0.0,81742.0,714.0,deallocate_thermodynamics_arrays,USER,radiation_thermodynamics.F90
28,0.3,0.200,4,1.45,2003,2908.0,1292.0,401.0,582.0,17.244,19.142,3.781,59581.0,64.364,196.0,49188.0,49188.0,0.245,3719.0,srtm_taumol17,USER,srtm_taumol17.F90
29,0.3,0.200,4,0.99,2003,1979.0,3380.0,401.0,396.0,7.028,13.712,5.742,0.18,174.0,503.0,29754.0,29754.0,0.162,1979.0,srtm_taumol18,USER,srtm_taumol18.F90
30,0.3,0.170,3,0.24,2003,486.0,2162.0,340.0,84.438,11.786,12.55,2.594,68827.0,101.013,269.0,0.0,0.0,36162.0,142.0,read_input,USER,ecrad_driver_read_input.F90
31,0.2,0.161,3,0.70,2003,1405.0,1074.0,322.0,226.0,10.091,8.318,0.427,56729.0,25.124,148.0,0.0,0.0,0.116,404.0,solver_mcica_sw,USER,radiation_mcica_sw.F90
32,0.2,0.150,3,1.21,2004,2429.0,1542.0,301.0,365.0,18.924,14.573,2.888,0.118,88.332,146.0,16396.0,16396.0,0.188,4763.0,fast_adding_ica_lw,USER,radiation_adding_ica_lw.F90
33,0.2,0.150,3,0.63,2004,1253.0,3104.0,301.0,188.0,9.42,8.607,2.046,0.122,97.284,371.0,32792.0,32792.0,94100.0,957.0,srtm_taumol16,USER,srtm_taumol16.F90
34,0.2,0.150,3,1.36,2003,2714.0,830.0,301.0,408.0,15.594,11.302,4.129,22533.0,42.145,85.223,19705.0,19705.0,0.398,1953.0,srtm_taumol27,USER,srtm_taumol27.F90
35,0.2,0.150,3,1.23,2004,2454.0,2273.0,301.0,369.0,16.729,16.145,1.941,89914.0,91.069,252.0,20492.0,20492.0,0.175,3495.0,srtm_gas_optical_depth,USER,srtm_gas_optical_depth.F90
36,0.2,0.142,3,0.81,2003,1628.0,363.0,285.0,232.0,6.467,4.163,1.664,14068.0,18.165,34.584,0.0,0.0,91632.0,10426.0,cloud_optics,USER,radiation_cloud_optics.F90
37,0.2,0.106,2,0.06,2003,116.0,0.0,213.0,12.584,1.311,2470.0,1001.0,10775.0,0.0,0.0,0.0,0.0,0.0,0.0,rrtm_kgb3,USER,rrtm_kgb3.F90
38,0.1,0.100,2,0.42,2003,835.0,0.0,201.0,85.495,8.547,6.19,8.073,0.0,0.0,0.0,0.0,0.0,0.237,609.0,param_cloud_effective_separation_eta,USER,radiation_cloud.F90
39,0.1,0.100,2,0.95,2003,1899.0,0.0,201.0,190.0,7.642,7.277,5.601,0.0,0.0,0.0,0.0,0.0,0.287,505.0,get_real_array3,USER,easy_netcdf.F90
40,0.1,0.100,2,1.14,2004,2284.0,1718.0,201.0,229.0,8.697,2.602,2.636,27951.0,39.17,134.0,16396.0,16396.0,97461.0,2371.0,srtm_taumol21,USER,srtm_taumol21.F90
41,0.1,0.100,2,0.85,2003,1694.0,1902.0,201.0,170.0,9.368,11.076,3.496,38769.0,53.388,139.0,6901.0,6901.0,0.307,1661.0,surrtrf,USER,surrtrf.F90
42,0.1,0.098,2,0.05,2003,101.0,0.0,197.0,10.067,1.056,1897.0,819.0,8381.0,0.0,0.0,0.0,0.0,0.0,0.0,rrtm_kgb13,USER,rrtm_kgb13.F90
43,0.1,0.058,1,0.13,2004,254.0,0.551,117.0,15.023,2.59,2.754,1.121,5342.0,0.0,0.0,16352.0,16352.0,0.566,367.0,calc_no_scattering_transmittance_lw,USER,radiation_two_stream.F90
44,0.1,0.053,1,0.26,2003,524.0,1794.0,107.0,28.661,3.873,7.074,4.721,0.0,19.577,78.513,0.0,0.0,0.0,662.0,get_sw_weights,USER,radiation_config.F90
45,0.1,0.053,1,0.20,2003,407.0,0.237,106.0,21.901,4.593,3.985,2.466,0.0,2665.0,10064.0,0.0,0.0,0.199,0.0,calc_surface_spectral,USER,radiation_flux.F90
46,0.1,0.053,1,0.00,2004,0.0,2.71,106.0,0.0,1.078,4972.0,1973.0,21071.0,31299.0,0.112,0.0,0.0,0.139,6398.0,get_real_vector_indexed,USER,easy_netcdf.F90
47,0.1,0.051,1,0.05,2003,97.0,0.0,104.0,5.078,0.51,994.0,395.0,4309.0,0.0,0.0,0.0,0.0,0.0,0.0,rrtm_kgb15,USER,rrtm_kgb15.F90
48,0.1,0.050,1,1.99,2003,3987.0,1751.0,101.0,200.0,8.969,8.835,0.327,75690.0,36.843,52.794,0.0,0.0,90774.0,509.0,allocate_flux_type,USER,radiation_flux.F90
49,0.1,0.050,1,1.47,2004,2944.0,300.0,101.0,148.0,7.373,0.807,1.121,14048.0,4.917,10.402,16396.0,16396.0,0.161,1399.0,srtm_taumol23,USER,srtm_taumol23.F90
51,0.1,0.048,1,0.05,2003,92.0,16.0,98.221,4.465,0.455,935.0,364.0,5627.0,0.162,0.606,0.0,0.0,0.0,0.0,srtm_taumol29,USER,srtm_taumol29.F90
52,0.1,0.048,1,0.02,2003,38.0,0.0,98.005,1.817,0.201,530.0,20.0,2961.0,0.0,0.0,0.0,0.0,0.0,0.0,print_config,USER,radiation_config.F90
53,0.1,0.044,1,0.02,2003,46.0,0.0,90.785,2.058,0.219,2223.0,453.0,3747.0,0.0,0.0,0.0,0.0,0.0,0.0,calc_boundary_conditions_lw,USER,radsurf_intermediate.F90
54,0.1,0.042,1,1.17,2004,2340.0,12000.0,86.805,101.39,1.811,3.137,2.671,0.0,101.0,378.0,0.0,0.0,9725.0,419.0,allocate_cloud_arrays,USER,radiation_cloud.F90
55,0.1,0.041,1,0.05,2003,108.0,0.0,83.07,4.443,0.455,1026.0,365.0,3831.0,0.0,0.0,0.0,0.0,0.0,0.0,rrtm_kgb5,USER,rrtm_kgb5.F90
